Threshold,FPR,TPR,Precision,Recall,F1,MCC
0.01135,0.0220438361295184,0.988701260736078,0.805531601329721,0.988701260736078,0.887766718173329,0.881840560858941
0.01145,0.021976975805671,0.988662473244474,0.80600087795496,0.988662473244474,0.888035988369181,0.882108575279141
0.01155,0.0219101576251099,0.988621974540005,0.806470168198725,0.988621974540005,0.888304406341861,0.882375642308691
0.01165,0.0218427283668963,0.988582559603683,0.806944572807947,0.988582559603683,0.888576192299943,0.882646273519591
0.01175,0.0217771902886591,0.988545540365372,0.807406446304825,0.988545540365372,0.888841180255293,0.882910329175596
0.01185,0.0217127953470651,0.988508863369635,0.807860765018009,0.988508863369635,0.889101567928033,0.883169837034587
0.01195,0.0216482371002364,0.988474696152766,0.808317191278775,0.988474696152766,0.889364089000304,0.883431787031491
0.01205,0.0215846955601916,0.988436707227165,0.808766282014232,0.988436707227165,0.889620466353596,0.883687253619886
0.01215,0.021520758926837,0.988400486554858,0.809219017094217,0.988400486554858,0.889879608673303,0.883945732865864
0.01225,0.0214571278323087,0.988363410276118,0.809669964783689,0.988363410276118,0.89013716729828,0.884202598445198
0.01235,0.0213954195252216,0.988327817048529,0.810107854978552,0.988327817048529,0.890387285281519,0.884452139597837
0.01245,0.021334717389097,0.988290056284643,0.810538671464056,0.988290056284643,0.890632106197939,0.884696193709187
0.01255,0.0212739731096859,0.988253322248477,0.810970442330816,0.988253322248477,0.890877777024188,0.884941255205644
0.01265,0.0212135080295472,0.988217900142173,0.811400894669386,0.988217900142173,0.8911230429638,0.885186080487428
0.01275,0.0211544442136807,0.988181109065578,0.811821504098816,0.988181109065578,0.891361677384839,0.885424135892242
0.01285,0.0210968501449268,0.988146542565707,0.812232299447469,0.988146542565707,0.891595168449926,0.885657239117025
0.01295,0.0210395616149992,0.988113801359559,0.812641609708479,0.988113801359559,0.891828379552938,0.88589027090083
0.01305,0.0209813722723252,0.988077808848967,0.813057385410074,0.988077808848967,0.892064029846407,0.886125537711119
0.01315,0.0209246632125854,0.988043014187381,0.81346306625545,0.988043014187381,0.892293962966338,0.886355176457434
0.01325,0.0208684177289958,0.988006565353358,0.813865561913649,0.988006565353358,0.892521179852326,0.886581972710069
0.01335,0.0208128623417207,0.987974166389783,0.814264091091773,0.987974166389783,0.892747541317535,0.886808304864998
0.01345,0.0207579338358306,0.987940512536773,0.81465828528403,0.987940512536773,0.892970665329205,0.887031298760764
0.01355,0.0207036111396822,0.987904691147468,0.815048146512904,0.987904691147468,0.893190182940129,0.887250500891367
0.01365,0.0206494780883226,0.987870124647597,0.815437218366983,0.987870124647597,0.893409622792146,0.887469779919243
0.01375,0.0205952712862118,0.987834132137005,0.815827010269737,0.987834132137005,0.893628795027836,0.887688712211587
0.01385,0.0205414911848756,0.987802759901149,0.816214789004566,0.987802759901149,0.893848534610882,0.887908663368012
0.01395,0.0204890965440793,0.987767451875703,0.81659223704632,0.987767451875703,0.894060356325752,0.888120298824549
0.01405,0.0204370601212173,0.987736022599418,0.816968027583372,0.987736022599418,0.894272664899665,0.888332803815801
0.01415,0.020386540856665,0.987702596908124,0.817332775349052,0.987702596908124,0.894477434800501,0.88853753900202
0.01425,0.0203354368540142,0.987667460003964,0.817701901705582,0.987667460003964,0.894684021371906,0.888744012364677
0.01435,0.0202849650006591,0.987633692070097,0.818066956033491,0.987633692070097,0.894888628407418,0.888948637157379
0.01445,0.0202342666271398,0.987599867095801,0.818434016423955,0.987599867095801,0.895094309384411,0.889154388220735
0.01455,0.0201848957671415,0.987565699878932,0.818791621928178,0.987565699878932,0.895294094255459,0.889354170681609
0.01465,0.0201357724989507,0.987529821449198,0.819147486533098,0.987529821449198,0.895492036726811,0.889551979646905
0.01475,0.0200872813800557,0.987499076658058,0.819499800382535,0.987499076658058,0.895689871733149,0.889750151802384
0.01485,0.0200390483887897,0.987467419220058,0.819850400377539,0.987467419220058,0.895886213513452,0.889946770114266
0.01495,0.0199910682572421,0.987435191377769,0.820199372482413,0.987435191377769,0.896081255058079,0.890142058957449
0.01505,0.0199435253622907,0.987400738958755,0.820545104558869,0.987400738958755,0.896273354089014,0.890334212189578
0.01515,0.0198964249718463,0.987366913984459,0.820887975776762,0.987366913984459,0.896463913311115,0.89052489201425
0.01525,0.0198506468270122,0.987332917888877,0.821221352192684,0.987332917888877,0.896648651695131,0.890709682635689
0.01535,0.0198039836731641,0.987300633006159,0.821561827761898,0.987300633006159,0.896838239717361,0.890899577489953
0.01545,0.0197572889118511,0.98727085790231,0.821903214353094,0.98727085790231,0.897029317400579,0.891091230469489
0.01555,0.0197117636267353,0.987236804766298,0.822235600196945,0.987236804766298,0.897213181562745,0.891275235325343
0.01565,0.0196666018274646,0.987204006519721,0.822565765934981,0.987204006519721,0.897396157363769,0.89145847623469
0.01575,0.0196216612804474,0.987170637868856,0.822894491342887,0.987170637868856,0.897577956514179,0.891640508703484
0.01585,0.0195771368983832,0.987138809309568,0.823220635279287,0.987138809309568,0.897758773969018,0.891821704255356
0.01595,0.0195330392170936,0.987106695548137,0.823543842390225,0.987106695548137,0.897937646020244,0.892000931964339
0.01605,0.0194896843112266,0.987074524746277,0.823861785571697,0.987074524746277,0.898113286277875,0.892176901559478
0.01615,0.019445744667261,0.987040528650694,0.824184084415843,0.987040528650694,0.898290679707561,0.892354537386495
0.01625,0.0194020526151029,0.987008300808406,0.824505070490747,0.987008300808406,0.898467945670601,0.892532221207327
0.01635,0.0193597828988602,0.986977270815122,0.824815887076453,0.986977270815122,0.898639593163084,0.892704318947033
0.01645,0.0193172497870776,0.986944187366401,0.825128624883068,0.986944187366401,0.898811454653471,0.892876498331096
0.01655,0.0192748431051542,0.986913271453975,0.825440992262169,0.986913271453975,0.898983919838382,0.893049499376016
0.01665,0.0192328631240054,0.986881442894688,0.825750290480058,0.986881442894688,0.899154111820009,0.893220143697065
0.01675,0.0191915468996172,0.986851553709981,0.826055153313944,0.986851553709981,0.899322406762152,0.893389044053
0.01685,0.0191505467498768,0.986821208201843,0.826357825194597,0.986821208201843,0.89948914304182,0.893556350099168
0.01695,0.0191100628553947,0.986788409955266,0.826656510305631,0.986788409955266,0.899652428667427,0.893719974088155
0.01705,0.0190702532534946,0.986756866598123,0.826950553346993,0.986756866598123,0.899813418502699,0.893881389628025
